V1,V10,Q0,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6
ResponseID,Finished,You areÂ invited to participate in a study looking at how /  some individual factors affect voice be...,Individuals should sacrifice self-interest for the group.,Individuals should stick with the group even through difficulties.,Group welfare is more important than individual rewards,Group success is more important than individual success.,Individuals should only pursue their goals after considering the welfare of the group.,Group loyalty should be encouraged even if individual goals suffer
R_3JK36cnKu1GgqKV,1,1,5,7,5,5,5,5
R_9odepHyhc1joxAV,1,1,5,6,6,6,6,6
R_1CqMwxgZh2MXsG7,1,1,3,3,3,5,5,6
R_dhuJs36wk5Su2Pj,1,1,6,6,6,6,5,5
R_es4fzluUrUz1sEZ,1,1,4,2,4,5,4,5
R_cM7sTN1zHLc0B2l,1,1,5,6,6,6,6,6
R_5zh0UCv5KQnWZK9,1,1,6,7,6,7,6,3
R_cN5cg70dDYOLeDP,1,1,2,5,6,6,5,3
R_57S3Jv4YG7F5NmB,1,1,3,4,6,6,5,5
R_byBhk8WeDzsKDwV,1,1,3,5,4,5,4,4
R_3PQNwqgK6YhT1bb,1,1,5,4,4,6,4,3
R_3QQ7Zugdoly5SCR,1,1,6,6,5,5,3,5
R_egvce26Zh7MNabr,1,1,3,5,3,3,3,3
R_0USZpagbLCc7IPP,1,1,4,6,4,5,5,4
R_9KQQUoGMXVqVClv,1,1,5,4,3,5,6,2
R_0OgDBstVCfKmqmV,1,1,5,6,6,6,6,5
R_2dEVSVeuCmSPkD1,1,1,5,4,5,5,4,4
R_2TR7TWVYihVHD3Q,1,1,5,5,5,5,4,3
R_1OxfCGDPk8DMDa4,1,1,2,2,2,2,2,2
R_5iDIhGa8K1wpI8d,1,1,5,5,5,5,2,2
R_cHKVCksx0OloEEB,1,1,5,6,6,6,5,5
R_0rfTPgIRpokEkKh,1,1,5,6,5,5,5,4
R_6XBbLmIhxsrDLAp,1,1,3,4,3,4,5,3
R_4OPRD1g4zROMGEJ,1,1,6,6,6,6,5,6
R_0jGNEyloritHs3z,1,1,4,7,4,4,4,4
R_dok1oM7XNr3AZIV,1,1,4,7,6,6,6,6
R_2ygrCbjczYdFxxO,1,1,5,6,3,5,3,5
R_dfYN18dALTatjP7,1,1,6,6,6,6,3,6
R_b9saMm10RnvE0Op,1,1,4,6,6,5,3,2
R_25Y56UiuAzaDUup,1,1,5,3,4,6,5,5
R_eDLNZz9ncBfQuQ5,1,1,5,5,4,3,3,3
R_eaCQ6WCiZPKDORv,1,1,5,6,5,6,5,6
R_3x77eUbTEqaxkJT,1,1,6,6,5,4,5,6
R_3gVz8MNHoNeenS5,1,1,5,6,6,6,4,5
R_etFBgAO3ba0CIAd,1,1,5,6,6,6,6,6
R_40gxfLjwfeHwNMN,1,1,5,4,6,5,5,4
R_2xFTKbsq0tmJcg4,1,1,5,6,6,6,2,6
R_6rn1APRxssGN2O9,1,1,5,6,5,6,5,5
R_8raDTwy7qoRrX3D,1,1,6,6,7,7,7,7
R_2axZo11Hx70fm3j,1,1,3,5,5,5,5,6
R_0rHCMYAFnxqmlZn,1,1,5,5,5,5,3,3
R_3n1vNjq3T8wz1PE,1,1,3,3,4,4,4,4
R_2OHWlDHf1tN1bsL,1,1,4,6,5,5,5,4
R_9n6fmK9EXtNJlhb,1,1,4,5,4,4,5,5
R_eDUyQ5fUfAG8Pwp,1,1,5,5,5,5,5,5
R_553D4pJ2dClLU8t,1,1,6,6,5,6,6,5
R_2aB0Fd7rKPxPxaZ,1,1,5,6,3,4,5,3
R_9ZVfYRzRAF9DSbb,1,1,6,6,6,6,6,6
R_DcrPhDqyqsXChix,1,1,6,6,3,2,2,3
R_3oT19zGy7htGNf7,1,1,6,4,3,2,2,2
R_2TTwkqo7cIz8G7y,1,1,5,7,7,7,6,7
R_eQI1aIntjE9ulJH,1,1,3,5,5,6,3,5
R_cx5bTyUbHHLAKIR,1,1,3,5,5,5,2,3
R_2ZBKeMikZoIxgLR,1,1,6,6,4,6,2,2
R_5o1mKsFBvFzrM8p,1,1,3,6,4,6,4,3
R_3EKhwNmGg0zuJKX,1,1,5,6,6,5,5,5
R_ewDRpt2hh75sw61,1,1,3,5,5,4,4,4
R_8xnHbjwSblc5WQ9,1,1,3,3,2,2,2,2
R_1IpmUjnjiEFkT5E,1,1,2,5,3,6,2,5
R_6yhtps18SLiajv7,1,1,5,6,6,6,4,5
R_3UbJoltXBOUe2jj,1,1,6,6,6,2,6,6
R_bayLB3HtvCml8c5,1,1,4,5,4,4,6,4
R_3lLEAMrvIvcUGNv,1,1,6,6,2,2,5,4
R_2EE4O4qi8i0VPuq,1,1,6,6,5,5,5,5
R_2y7t7OmARLGhnqH,1,1,2,6,5,5,2,2
R_2SJ59ZCG53QNNS4,1,1,6,5,3,2,6,4
R_12Kovk0EAqherQo,1,1,3,5,3,4,3,2
R_egEPBsGVRufuUGV,1,1,5,5,4,4,4,4
R_1Csa4z6OLpD2blp,1,1,6,6,6,4,4,4
R_3sjDl33BN4HkKuM,1,1,5,6,7,7,6,4
R_1gBc3uvafgowUaq,1,1,4,5,5,5,5,4
R_x0mGMsVzgtWGKdP,1,1,7,5,6,7,2,5
R_e5LhTA0KLySBPjD,1,1,6,7,6,6,6,6
R_33shvl0nMa6oAU1,1,1,5,6,6,6,5,5
R_6FE2FRnWnAWSy2h,1,1,4,4,4,6,3,5
R_afM87BBlj4hFBBP,1,1,3,3,4,3,3,3
R_1LTNWK0miT22HLW,1,1,5,3,3,4,3,2
R_0D6qvIePgqBMuMt,1,1,5,5,5,5,3,3
R_246Q9IoZldcWP1H,1,1,5,6,6,6,5,5
R_1UnzIR2fdUZMRTf,1,1,5,6,3,5,3,3
R_8GL1O0vXvupPwCp,1,1,5,5,5,5,5,5
R_79z3Xa8CH3ng1kp,1,1,6,6,6,7,6,6
R_2qCwxgVOaUtjlw3,1,1,1,5,2,5,5,2
R_2Cwyh9OaysmfcO6,1,1,6,3,6,6,6,5
R_ZsJ1EkMtRr0Z7jj,1,1,3,6,5,3,3,3
R_R3MnTwKnjXrbrHP,1,1,6,7,2,1,1,4
R_sXpCYOZwz9lBGwh,1,1,4,5,6,5,5,3
R_elFFRabvDcVTZE9,1,1,5,6,6,5,6,2
R_e5HPSQxPj5heGup,1,1,6,6,6,6,6,4
R_bEg3hPY9hLVMel7,1,1,5,5,6,7,6,5
R_3WdhiN6ba6KSKFL,0,1,6,4,5,6,3,2
R_8B16vNC4qD3sSuV,1,1,2,2,3,2,2,2
R_1RqOaVurl6ye2PP,1,1,6,6,6,6,6,5
R_eVgIDV18oLyatbT,1,1,5,4,5,5,6,5
R_4NJduxUr673Zui9,1,1,6,6,4,5,3,5
R_6sP8UJAan2qzZCl,1,1,5,4,4,6,5,5
R_3eoBbNnGqQDSKAh,1,1,2,5,3,3,3,2
R_6X04dSKEkRNZqT3,0,1,4,5,3,3,3,3
R_3GoVMiSBxuA2eFm,1,1,4,6,5,5,5,4
R_30qV21iLgHa1EWN,1,1,4,3,4,3,2,1
R_3HnbfPVoo1Zztlg,1,1,5,5,6,6,6,6
R_1meHvKfPu4HdSd1,1,1,6,6,6,6,5,5
R_vuDu2GW6yMQ6UZb,1,1,2,5,3,4,5,4
R_dgmELP8Hs64yOTX,0,1,6,6,6,6,6,6
R_86z92KDCz52c19P,1,1,6,5,5,5,3,3
R_3GiVztW22OM8dUI,0,1,6,6,5,5,5,3
R_aWCaTu0QUaZBSFn,1,1,3,6,6,5,5,6
R_4Z8M45vF1FdfXXn,1,1,5,6,6,6,6,2
R_6WmmkRsSdp8Nm7z,0,1,5,7,5,5,5,4